locality,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023
"Alameda city, California",8,8,8,8,9,9,10,10,11,13.5,15,15.75,16.52
"Albuquerque city, New Mexico",7.5,7.5,7.5,8.5,8.5,8.5,8.5,8.5,8.5,9,9,9,9
"Belmont city, California",8,8,8,8,9,9,10,10.5,12.5,13.5,15.9,16.2,16.75
"Berkeley city, California",8,8,8,8,9,9,11,12.53,13.75,15,16.32,16.32,16.99
"Burlingame city, California",8,8,8,8,9,9,10,10,11,11,15,15.6,16.47
"Chicago city, Illinois",8.25,8.25,8.25,8.25,8.25,10,10.5,11,12,13,14,14.5,15
"Cupertino city, California",8,8,8,8,9,9,10,12,13.5,15,15.65,16.4,17.2
"Daly City city, California",8,8,8,8,9,9,10,10,11,12,15,15.53,16.07
"Denver city, Colorado",7.25,7.36,7.64,7.78,8,8.23,8.31,9.3,10.2,11.1,14.77,15.87,15.87
"East Palo Alto city, California",8,8,8,8,9,9,10,10,11,12,15,15.55,16.45
"El Cerrito city, California",8,8,8,8,9,10,11.6,12.25,13.6,15,15.61,16.37,17.35
"Emeryville city, California",8,8,8,8,9,12.25,13,14,15,15,17.13,17.13,17.68
"Flagstaff city, Arizona",7.25,7.35,7.65,7.8,7.9,8.05,10,10.5,11,12,15,15.5,16.8
"Foster City city, California",8,8,8,8,9,9,10,10,11,12,14,15.75,16.5
"Fremont city, California",8,8,8,8,9,9,10,10,11,11,15,15,16
"Half Moon Bay city, California",8,8,8,8,9,9,10,10,11,12,15,15.56,16.45
"Hayward city, California",8,8,8,8,9,9,10,10,11,12,14,14.52,15.5
"Las Cruces city, New Mexico",7.5,7.5,7.5,7.5,7.5,8.4,8.4,9.2,9.2,10.1,10.1,10.1,10.1
"Los Altos city, California",8,8,8,8,9,9,10,12,13.5,15,15.65,16.4,17.2
"Los Angeles city, California",8,8,8,8,9,9,10,10.5,12,13.25,15,15,16.04
"Malibu city, California",8,8,8,8,9,9,10,10.5,12,13.25,15,15,15.96
"Menlo Park city, California",8,8,8,8,9,9,10,10,11,11,15.25,15.75,16.5
"Milpitas city, California",8,8,8,8,9,9,10,11,13.5,15,15.65,15.65,16.4
"Minneapolis city, Minnesota",7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.75,10,11,12.5,13.5,14.5
"Mountain View city, California",8,8,8,8,9,10.3,11,13,15,15,16.3,17.1,18.15
"Novato city, California",8,8,8,8,9,9,10,10,11,12,14,15,15.53
"Oakland city, California",8,8,8,8,9,12.25,12.25,12.25,12.25,12.25,14.36,15.06,15.97
"Palo Alto city, California",8,8,8,8,9,9,11,12,13.5,15,15.65,16.45,17.25
"Pasadena city, California",8,8,8,8,9,9,10,10.5,12,13.25,15,15,16.11
"Petaluma city, California",8,8,8,8,9,9,10,10,11,11,15.2,15.85,17.06
"Portland city, Maine",7.5,7.5,7.5,7.5,7.5,7.5,10.1,10.68,10.68,10.68,10.68,13,14
"Redwood City city, California",8,8,8,8,9,9,10,10,10.5,13.5,15.62,16.2,17
"Richmond city, California",8,8,8,8,9,9.6,11.52,12.3,13.41,13.41,15.21,15.54,16.17
"Rockland city, Maine",7.5,7.5,7.5,7.5,7.5,7.5,7.5,9,10,12,12.15,13,14
"Saint Paul city, Minneapolis",7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.75,8.04,8.15,11,12,13
"San Carlos city, California",8,8,8,8,9,9,10,10,11,12,15.24,15.77,16.32
"San Diego city, California",8,8,8,8,9,9.75,10.5,11.5,11.5,11.5,14,15,16.3
"San Francisco city, California",8,8,8,8,11.05,12.25,13,14,15,15,16.32,16.32,16.99
"San Jose city, California",8,8,8,8,9,9,10,12,13.5,15,15.45,16.2,17
"San Leandro city, California",8,8,8,8,9,9,10,12,13,14,15,15,15
"San Mateo city, California",8,8,8,8,9,9,10,10.5,12,13.5,15.62,16.2,16.75
"Santa Clara city, California",8,8,8,8,9,9,11,11.1,13,15,15.65,16.4,17.2
"Santa Fe city, New Mexico",9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,11.5,14.03
"Santa Monica city, California",8,8,8,8,9,9,10,10.5,12,13.25,15,15,15.96
"Santa Rosa city, California",8,8,8,8,9,9,10,10,11,12,15.2,15.85,17.06
"Seattle city, Washington",8.55,8.67,9.04,9.19,9.54,11,12,13,14,15,15.75,15.75,15.75
"Sonoma city, California",8,8,8,8,9,9,10,10,11,11,14,15,16
"South San Francisco city, California",8,8,8,8,9,9,10,10,11,12,15.25,15.8,16.7
"Sunnyvale city, California",8,8,8,8,9,10.3,11,13,15,15,16.3,17.1,17.95
"Tucson city, Arizona",7.25,7.35,7.65,7.8,7.9,8.05,8.05,10,10.5,12,12.8,13,13.5
"Tukwila city, Washington",8.55,8.67,9.04,9.19,9.32,9.47,9.47,11,11.5,13.5,13.69,15.74,17.06
"West Hollywood city, California",8,8,8,8,9,9,10,10,11,12,13,16,17.64